KEY,TYPE,DESCRIPTION
symbol,string,Refers to the stock ticker.
companyName,string,Refers to the company name.
primaryExchange,string,Refers to the primary listing exchange for the symbol.
calculationPrice,string,Refers to the source of the latest price.
,,"Possible values are tops, sip, previousclose, close, or iexlasttrade. The iexlasttrade value indicates that the latest price is the price of the last trade on IEX rather than the SIP closing price. iexlasttrade is provided for Nasdaq-listed symbols between 4:00 p.m. and 8 p.m. E.T. if you do not have UTP authorization."
open,number,"Refers to the official open price from the SIP. 15 minute delayed (can be null after 00:00 ET, before 9:45 and weekends)"
openTime,number,Refers to the official listing exchange time for the open from the SIP. 15 minute delayed
openSource,string,Source of open if available
close,number,"Refers to the 15-minute delayed official close price from the SIP. For Nasdaq-listed stocks, if you do not have UTP authorization, between 4:00 p.m. and 8 p.m. E.T. this field will return the price of the last trade on IEX rather than the SIP closing price."
closeTime,number,Refers to the official listing exchange time for the close from the SIP. 15 minute delayed
closeSource,string,Source of close if available
high,number,Refers to the market-wide highest price from the SIP. 15 minute delayed during normal market hours 9:30 - 16:00 (null before 9:45 and weekends).
highTime,number,Refers to time high was updated as epoch timestamp
highSource,string,This will represent a human readable description of the source of high.
,,"Possible values are IEX real time price, 15 minute delayed price, Close or Previous close"
low,number,Refers to the market-wide lowest price from the SIP. 15 minute delayed during normal market hours 9:30 - 16:00 (null before 9:45 and weekends).
lowTime,number,Refers to time low was updated as epoch timestamp
lowSource,string,This will represent a human readable description of the source of low.
,,"Possible values are IEX real time price, 15 minute delayed price, Close or Previous close"
latestPrice,number,Use this to get the latest price
,,"Refers to the latest relevant price of the security which is derived from multiple sources. We first look for an IEX real time price. If an IEX real time price is older than 15 minutes, 15 minute delayed market price is used. If a 15 minute delayed price is not available, we will use the current day close price. If a current day close price is not available, we will use the last available closing price (listed below as previousClose)"
,,"IEX real time price represents trades on IEX only. Trades occur across over a dozen exchanges, so the last IEX price can be used to indicate the overall market price."
,,15 minute delayed prices are from all markets using the Consolidated Tape.
,,This will not included pre or post market prices.
latestSource,string,This will represent a human readable description of the source of latestPrice.
,,"Possible values are IEX real time price, 15 minute delayed price, Close or Previous close"
latestTime,string,Refers to a human readable time/date of when latestPrice was last updated. The format will vary based on latestSource is inteded to be displayed to a user. Use latestUpdate for machine readable timestamp.
latestUpdate,number,"Refers to the machine readable epoch timestamp of when latestPrice was last updated. Represented in milliseconds since midnight Jan 1, 1970."
latestVolume,number,Use this to get the latest volume
,,"Refers to the latest total market volume of the stock across all markets. This will be the most recent volume of the stock during trading hours, or it will be the total volume of the last available trading day."
iexRealtimePrice,number,Refers to the price of the last trade on IEX.
iexRealtimeSize,number,Refers to the size of the last trade on IEX.
iexLastUpdated,number,"Refers to the last update time of iexRealtimePrice in milliseconds since midnight Jan 1, 1970 UTC or -1 or 0. If the value is -1 or 0, IEX has not quoted the symbol in the trading day."
delayedPrice,number,Refers to the 15 minute delayed market price from the SIP during normal market hours 9:30 - 16:00 ET.
delayedPriceTime,number,Refers to the last update time of the delayed market price during normal market hours 9:30 - 16:00 ET.
oddLotDelayedPrice,number,Refers to the 15 minute delayed odd Lot trade price from the SIP during normal market hours 9:30 - 16:00 ET.
oddLotDelayedPriceTime,number,Refers to the last update time of the odd Lot trade price during normal market hours 9:30 - 16:00 ET.
extendedPrice,number,Refers to the 15 minute delayed price outside normal market hours 0400 - 0930 ET and 1600 - 2000 ET. This provides pre market and post market price. This is purposefully separate from latestPrice so users can display the two prices separately.
extendedChange,number,Refers to the price change between extendedPrice and latestPrice.
extendedChangePercent,number,Refers to the price change percent between extendedPrice and latestPrice.
extendedPriceTime,number,Refers to the last update time of extendedPrice
previousClose,number,Refers to the previous trading day closing price.
previousVolume,number,Refers to the previous trading day volume.
change,number,Refers to the change in price between latestPrice and previousClose
changePercent,number,"Refers to the percent change in price between latestPrice and previousClose. For example, a 5% change would be represented as 0.05. You can use the query string parameter displayPercent to return this field multiplied by 100. So, 5% change would be represented as 5."
volume,number,"Total volume for the stock, but only updated after market open. To get premarket volume, use latestVolume"
iexMarketPercent,number,Refers to IEX’s percentage of the market in the stock.
iexVolume,number,Refers to shares traded in the stock on IEX.
avgTotalVolume,number,Refers to the 30 day average volume.
iexBidPrice,number,Refers to the best bid price on IEX.
iexBidSize,number,Refers to amount of shares on the bid on IEX.
iexAskPrice,number,Refers to the best ask price on IEX.
iexAskSize,number,Refers to amount of shares on the ask on IEX.
iexOpen,number,Refers to the open price from IEX.
iexOpenTime,number,Refers to the listing exchange time for the open from IEX.
iexClose,number,Refers to the close price from IEX.
iexCloseTime,number,Refers to the listing exchange time for the close from IEX.
marketCap,number,is calculated in real time using latestPrice.
peRatio,number,Refers to the price-to-earnings ratio for the company.
week52High,number,Refers to the adjusted 52 week high.
week52Low,number,Refers to the adjusted 52 week low.
ytdChange,number,Refers to the price change percentage from start of year to previous close.
lastTradeTime,number,Epoch timestamp in milliseconds of the last market hours trade excluding the closing auction trade.
isUSMarketOpen,boolean,"For US stocks, indicates if the market is in normal market hours. Will be false during extended hours trading."
